Tumor_Sample_Barcode	APOBECtCa_enrich	BH_Fisher_p-value_tCa	tCa_to_G+tCa_to_T	tCa_MutLoad_MinEstimate	APOBECrtCa_enrich	APOBECytCa_enrich	APOBECytCa_enrich-APOBECrtCa_enrich	rtCa_to_G+rtCa_to_T	ytCa_to_G+ytCa_to_T	ntca+tgan	rtca+tgay	ytca+tgar	ytCa_rtCa_Fisher_p-value	ytCa_rtCa_BH_Fisher_p-value	APOBEC_tCa_enrich_quartile	A3A_or_A3B
SP82636	1.45424783601263	1.39864449717476e-13	401	125	2.08763448766022	1.08726260271182	-1.0003718849484	227	174	10599	4288	6311	3.2043397728034e-11	1.05433115105144e-10	1	A3B
SP124341	1.4011031804244	2.20534789547982e-21	808	231	1.66707895381828	1.27687944958407	-0.39019950423421	384	424	20983	8594	12389	0.000125652188073505	0.000197177279746116	1	A3B
SP124391	1.39501281267578	2.34085334936957e-12	454	129	1.63523170549511	1.30505299390092	-0.33017871159419	204	250	10880	4291	6589	0.0161591057940348	0.0196217713213279	1	A3B
SP124323	1.36879824173294	3.95985349431658e-06	212	57	1.80477534458066	1.16167146097815	-0.64310388360251	106	106	7408	2901	4507	0.00127423000169835	0.00180515916907266	1	A3B
SP124264	1.31105263948162	5.40683350366715e-12	643	153	1.72230014998464	1.09661986856236	-0.62568028142228	331	312	19553	7883	11670	7.17990576859109e-09	1.67675368245823e-08	1	A3B
SP124355	1.28626869927154	0.000148660009626355	215	48	1.6138846989049	1.11807159277933	-0.49581310612557	108	107	5492	2260	3232	0.00709444152718515	0.00927734661247288	1	A3B
SP124441	1.27721724901296	6.34535760723067e-09	550	119	1.6457343815311	1.08542775831825	-0.56030662321285	280	270	16774	6813	9961	8.81081744389542e-07	1.57667259522339e-06	1	A3B
SP124357	1.25417691963846	1.3678879491842e-06	437	89	1.8792601587815	0.893847556997439	-0.985412601784061	255	182	11075	4429	6646	3.84176452290452e-15	1.86599991112505e-14	1	A3B
SP83027	1.1687415469399	0.0032307580445616	310	45	1.45703898296429	1.03291714157151	-0.42412184139278	149	161	8966	3552	5414	0.00252552169230997	0.00352881113172079	1	A3B
SP124336	1.12087382939574	0.0209108602895979	319	34	1.34294036863653	1.0237797288817	-0.31916063975483	147	172	12953	5110	7843	0.0148560778204481	0.0184501106338298	1	A3B
SP124436	1.99067887869024	0	48774	24273	2.03806167316489	2.04766582019638	0.00960414703149004	19154	29620	474729	186963	287766	0.59389657561737	0.637657375926018	ND	ND
SP82780	1.98211077870057	0	5598	2774	2.05078338627339	2.02495315304381	-0.0258302332295801	2202	3396	54005	21080	32925	0.633014257086696	0.672577648154615	ND	ND
SP83099	1.97463537853891	2.28070227471812e-281	3213	1586	1.96014636041446	2.07284142377349	0.11269506335903	1212	2001	33150	12943	20207	0.109972202875272	0.127467780605429	ND	ND
SP82756	1.9224213891896	2.11791322599453e-176	2151	1032	1.90722579662433	2.02277547108025	0.11554967445592	825	1326	23351	9283	14068	0.16545193674755	0.185451621409342	ND	ND
SP82459	1.89507195092173	0	11946	5642	1.9465118899655	1.94718882222013	0.000676932254629836	4722	7224	117763	46559	71204	0.99212463841095	0.99212463841095	ND	ND
SP124333	1.88811845037036	0	6638	3122	1.89907148662125	1.96539265336488	0.0663211667436301	2578	4060	67451	26748	40703	0.153602269857226	0.174082572504856	ND	ND
SP82435	1.88248498134742	2.09710744724966e-71	906	425	1.78090364171002	2.03713331344433	0.25622967173431	331	575	11135	4421	6714	0.0434598921583218	0.0515454534901027	ND	ND
